5.26km/h, 0.00 V, -0.81A , 13:5:27
10.79km/h, 0.02 V, -1.79A , 13:5:27
16.32km/h, 0.02 V, -2.69A , 13:5:27
21.88km/h, 0.03 V, -3.65A , 13:5:27
27.43km/h, 0.05 V, -4.60A , 13:5:27
32.97km/h, 0.05 V, -5.38A , 13:5:27
38.54km/h, 0.06 V, -6.30A , 13:5:28
44.07km/h, 0.06 V, -7.23A , 13:5:28
49.59km/h, 0.07 V, -8.22A , 13:5:28
55.10km/h, 0.08 V, -9.19A , 13:5:28
55.09km/h, 0.08 V, -9.19A , 13:5:28
55.06km/h, 0.08 V, -8.93A , 13:5:28
54.98km/h, 0.07 V, -8.44A , 13:5:28
54.78km/h, 0.06 V, -7.82A , 13:5:28
54.47km/h, 0.05 V, -7.01A , 13:5:28
54.03km/h, 0.04 V, -6.41A , 13:5:28
53.42km/h, 0.03 V, -5.66A , 13:5:28
52.72km/h, 0.03 V, -4.85A , 13:5:28
51.90km/h, 0.03 V, -3.96A , 13:5:28
50.97km/h, 0.03 V, -3.07A , 13:5:28
49.92km/h, 0.03 V, -2.35A , 13:5:28
48.77km/h, 0.04 V, -1.70A , 13:5:28
47.54km/h, 0.04 V, -1.34A , 13:5:28
46.28km/h, 0.05 V, -1.07A , 13:5:28
45.03km/h, 0.05 V, -1.01A , 13:5:28
43.78km/h, 0.05 V, -0.88A , 13:5:28
42.57km/h, 0.05 V, -0.77A , 13:5:28
41.40km/h, 0.05 V, -0.71A , 13:5:28
40.22km/h, 0.05 V, -0.68A , 13:5:28
39.04km/h, 0.05 V, -0.59A , 13:5:28
37.87km/h, 0.05 V, -0.51A , 13:5:28
36.72km/h, 0.03 V, -0.43A , 13:5:29
35.60km/h, 0.05 V, -0.39A , 13:5:29
34.50km/h, 0.05 V, -0.31A , 13:5:29
33.39km/h, 0.05 V, -0.24A , 13:5:29
32.33km/h, 0.05 V, -0.19A , 13:5:29
31.28km/h, 0.06 V, -0.13A , 13:5:29
30.24km/h, 0.05 V, -0.09A , 13:5:29
29.23km/h, 0.05 V, -0.06A , 13:5:29
28.28km/h, 0.05 V, -0.29A , 13:5:29
27.54km/h, 0.05 V, -0.96A , 13:5:29
27.17km/h, 0.05 V, -2.01A , 13:5:29
27.24km/h, 0.03 V, -3.13A , 13:5:29
27.70km/h, 0.03 V, -4.46A , 13:5:29
28.56km/h, 0.03 V, -5.57A , 13:5:29
29.72km/h, 0.02 V, -6.66A , 13:5:29
31.14km/h, 0.02 V, -7.64A , 13:5:29
32.76km/h, 0.03 V, -8.51A , 13:5:29
34.56km/h, 0.02 V, -9.14A , 13:5:29
36.41km/h, 0.03 V, -9.47A , 13:5:29
38.19km/h, 0.04 V, -9.42A , 13:5:29
39.66km/h, 0.05 V, -8.98A , 13:5:29
40.82km/h, 0.05 V, -8.44A , 13:5:29
41.69km/h, 0.05 V, -7.71A , 13:5:30
42.30km/h, 0.05 V, -7.37A , 13:5:30
42.75km/h, 0.06 V, -6.91A , 13:5:30
43.03km/h, 0.05 V, -6.69A , 13:5:30
43.27km/h, 0.05 V, -6.57A , 13:5:30
43.49km/h, 0.05 V, -6.84A , 13:5:30
43.75km/h, 0.05 V, -7.29A , 13:5:30
44.06km/h, 0.05 V, -7.73A , 13:5:30
44.53km/h, 0.06 V, -8.39A , 13:5:30
45.07km/h, 0.06 V, -8.87A , 13:5:30
45.70km/h, 0.07 V, -9.39A , 13:5:30
46.52km/h, 0.07 V, -9.69A , 13:5:30
47.40km/h, 0.08 V, -10.09A , 13:5:30
48.22km/h, 0.08 V, -10.19A , 13:5:31
48.95km/h, 0.08 V, -10.38A , 13:5:31
49.81km/h, 0.09 V, -10.58A , 13:5:31
50.78km/h, 0.08 V, -10.41A , 13:5:31
51.65km/h, 0.08 V, -10.35A , 13:5:32
52.41km/h, 0.07 V, -10.05A , 13:5:32
53.06km/h, 0.07 V, -10.00A , 13:5:32
53.63km/h, 0.08 V, -9.87A , 13:5:32
53.97km/h, 0.08 V, -9.73A , 13:5:32
54.21km/h, 0.07 V, -9.63A , 13:5:32
54.52km/h, 0.08 V, -9.68A , 13:5:32
54.83km/h, 0.09 V, -9.75A , 13:5:32
54.95km/h, 0.09 V, -9.56A , 13:5:32
54.97km/h, 0.10 V, -9.61A , 13:5:32
55.00km/h, 0.10 V, -9.69A , 13:5:32
55.01km/h, 0.11 V, -9.52A , 13:5:32
55.01km/h, 0.12 V, -9.32A , 13:5:32
55.04km/h, 0.11 V, -9.38A , 13:5:32
55.03km/h, 0.12 V, -9.21A , 13:5:32
55.05km/h, 0.12 V, -9.21A , 13:5:32
55.06km/h, 0.12 V, -9.27A , 13:5:32
55.05km/h, 0.11 V, -9.17A , 13:5:32
55.08km/h, 0.10 V, -9.16A , 13:5:32
55.09km/h, 0.10 V, -9.21A , 13:5:32
55.06km/h, 0.10 V, -9.14A , 13:5:32
55.04km/h, 0.09 V, -9.27A , 13:5:32
55.05km/h, 0.09 V, -9.38A , 13:5:32
55.04km/h, 0.09 V, -9.33A , 13:5:32
55.05km/h, 0.08 V, -9.43A , 13:5:32
55.05km/h, 0.08 V, -9.45A , 13:5:32
55.03km/h, 0.08 V, -9.46A , 13:5:33
55.04km/h, 0.09 V, -9.34A , 13:5:33
55.01km/h, 0.09 V, -9.35A , 13:5:33
55.00km/h, 0.09 V, -9.32A , 13:5:33
55.00km/h, 0.09 V, -9.23A , 13:5:33
55.01km/h, 0.10 V, -9.24A , 13:5:33
54.99km/h, 0.09 V, -9.30A , 13:5:33
55.01km/h, 0.09 V, -9.25A , 13:5:33
54.99km/h, 0.09 V, -9.31A , 13:5:33
54.98km/h, 0.08 V, -9.33A , 13:5:33
54.98km/h, 0.08 V, -9.24A , 13:5:33
54.98km/h, 0.08 V, -9.27A , 13:5:33
54.97km/h, 0.08 V, -9.44A , 13:5:33
54.97km/h, 0.09 V, -9.12A , 13:5:33
54.96km/h, 0.09 V, -9.18A , 13:5:33
54.95km/h, 0.09 V, -9.30A , 13:5:33
54.95km/h, 0.10 V, -9.25A , 13:5:33
54.93km/h, 0.10 V, -9.28A , 13:5:33
54.94km/h, 0.11 V, -9.39A , 13:5:33
54.99km/h, 0.10 V, -9.32A , 13:5:33
55.00km/h, 0.11 V, -9.38A , 13:5:33
55.02km/h, 0.10 V, -9.49A , 13:5:33
55.05km/h, 0.10 V, -9.35A , 13:5:33
55.05km/h, 0.08 V, -9.63A , 13:5:33
55.08km/h, 0.08 V, -9.65A , 13:5:33
55.09km/h, 0.08 V, -9.40A , 13:5:33
55.09km/h, 0.07 V, -9.38A , 13:5:34
55.12km/h, 0.07 V, -9.39A , 13:5:34
55.11km/h, 0.07 V, -9.13A , 13:5:34
55.08km/h, 0.08 V, -9.12A , 13:5:34
55.07km/h, 0.07 V, -9.11A , 13:5:34
55.07km/h, 0.07 V, -8.95A , 13:5:34
55.06km/h, 0.07 V, -8.85A , 13:5:34
55.08km/h, 0.07 V, -9.03A , 13:5:34
55.05km/h, 0.08 V, -8.77A , 13:5:34
